year,subYear,date,time,targetTime,minutesFromTarget,tempF,dewPointF,humidityPct,heatIndexF,runnerStressScore,wind,windSpeedMph,windGustMph,pressureIn,precipIn,condition,sourceUrl
1970,,1970-07-04,9:00 AM,9:30 AM,30,80.0,71.0,74.0,83.4,181.5,WSW,10.0,0.0,28.79,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL/date/1970-07-04
1971,,1971-07-04,9:00 AM,9:00 AM,0,70.0,64.0,81.0,70.0,161.0,ENE,12.0,0.0,29.03,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL/date/1971-07-04
1972,,1972-07-04,9:00 AM,9:00 AM,0,74.0,67.0,79.0,74.0,170.0,WSW,9.0,0.0,29.05,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL/date/1972-07-04
1973,,1973-07-04,9:00 AM,9:00 AM,0,78.0,70.0,76.0,78.0,179.0,W,8.0,0.0,28.92,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL/date/1973-07-04
1974,,1974-07-04,9:00 AM,9:00 AM,0,70.0,68.0,93.0,70.0,169.5,WNW,5.0,0.0,29.03,0.1,Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL/date/1974-07-04
1975,,1975-07-04,9:00 AM,9:00 AM,0,72.0,69.0,91.0,72.0,171.5,WNW,8.0,0.0,28.92,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL/date/1975-07-04
1976,,1976-07-04,9:00 AM,9:00 AM,0,71.0,68.0,90.0,71.0,168.0,SW,12.0,0.0,28.89,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL/date/1976-07-04
1977,,1977-07-04,9:00 AM,9:00 AM,0,73.0,70.0,90.0,73.0,174.0,E,8.0,0.0,29.09,0.0,Partly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL/date/1977-07-04
1978,,1978-07-04,7:00 AM,7:00 AM,0,68.0,68.0,100.0,68.0,165.5,NW,9.0,0.0,28.81,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL/date/1978-07-04
1979,,1979-07-04,8:00 AM,8:00 AM,0,75.0,69.0,82.0,75.0,174.5,W,8.0,0.0,28.92,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL/date/1979-07-04
1980,,1980-07-04,8:00 AM,8:00 AM,0,77.0,73.0,88.0,77.0,183.0,W,7.0,0.0,28.99,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL/date/1980-07-04
1981,,1981-07-04,8:00 AM,8:00 AM,0,69.0,65.0,87.0,69.0,163.5,E,6.0,0.0,28.97,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL/date/1981-07-04
1982,,1982-07-04,7:00 AM,7:30 AM,30,73.0,69.0,87.0,73.0,173.0,SW,7.0,0.0,29.09,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1982-07-04
1983,,1983-07-04,8:00 AM,8:00 AM,0,73.0,71.0,93.0,73.0,179.5,CALM,0.0,0.0,29.26,0.0,Partly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1983-07-04
1984,,1984-07-04,8:00 AM,8:00 AM,0,70.0,67.0,90.0,70.0,170.5,CALM,0.0,0.0,29.17,0.0,Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1984-07-04
1985,,1985-07-04,8:00 AM,8:00 AM,0,71.0,62.0,73.0,71.0,160.5,NW,7.0,0.0,29.19,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1985-07-04
1986,,1986-07-04,8:00 AM,8:00 AM,0,66.0,60.0,81.0,66.0,156.0,CALM,0.0,0.0,29.2,0.0,Partly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1986-07-04
1987,,1987-07-04,8:00 AM,8:00 AM,0,73.0,66.0,79.0,73.0,168.5,WSW,7.0,0.0,29.16,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1987-07-04
1988,,1988-07-04,8:00 AM,8:00 AM,0,63.0,63.0,100.0,63.0,154.5,E,6.0,0.0,29.21,0.0,Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1988-07-04
1989,,1989-07-04,8:00 AM,8:00 AM,0,71.0,70.0,96.0,71.0,173.5,W,5.0,0.0,29.05,0.0,Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1989-07-04
1990,,1990-07-04,8:00 AM,8:00 AM,0,67.0,64.0,90.0,67.0,161.5,N,3.0,0.0,29.29,0.0,Partly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1990-07-04
1991,,1991-07-04,8:00 AM,8:00 AM,0,75.0,73.0,94.0,75.0,183.0,W,3.0,0.0,29.04,0.0,Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1991-07-04
1992,,1992-07-04,8:00 AM,8:00 AM,0,71.0,69.0,93.0,71.0,174.5,CALM,0.0,0.0,29.22,0.0,Partly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1992-07-04
1993,,1993-07-04,7:00 AM,7:30 AM,30,72.0,70.0,93.0,72.0,174.0,SW,6.0,0.0,29.15,0.0,Partly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1993-07-04
1994,,1994-07-04,7:00 AM,7:30 AM,30,71.0,70.0,97.0,71.0,176.0,CALM,0.0,0.0,29.17,0.0,Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1994-07-04
1995,,1995-07-04,7:00 AM,7:30 AM,30,71.0,65.0,81.0,71.0,168.5,CALM,0.0,0.0,29.2,0.0,Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1995-07-04
1996,,1996-07-04,7:47 AM,7:30 AM,17,63.0,57.0,82.0,63.0,148.5,CALM,0.0,0.0,29.01,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1996-07-04
1997,,1997-07-04,7:45 AM,7:30 AM,15,75.0,70.0,83.0,75.0,180.0,CALM,0.0,0.0,29.01,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1997-07-04
1998,,1998-07-04,7:47 AM,7:30 AM,17,72.0,68.0,88.0,72.0,174.0,CALM,0.0,0.0,29.17,0.0,Mostly Cloudy,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1998-07-04
1999,,1999-07-04,7:53 AM,7:30 AM,23,71.0,69.0,93.0,71.0,174.5,CALM,0.0,0.0,29.34,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/1999-07-04
2000,,2000-07-04,7:53 AM,7:30 AM,23,73.0,67.0,81.0,73.0,173.5,CALM,0.0,0.0,29.2,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2000-07-04
2001,,2001-07-04,7:53 AM,7:30 AM,23,71.0,70.0,96.0,71.0,176.0,CALM,0.0,0.0,29.25,0.0,Fair,https://www.wunderground.com/history/daily/us/ga/atlanta/KFTY/date/2001-07-04
